priority,jurisdiction,code,source_kind,title,url,extraction_mode,difficulty,image_rich,historical_coverage,local_binary_status,notes
0,Washington,WA,official_gallery,Washington DOL Special Design Plates,https://dol.wa.gov/vehicles-and-boats/vehicles/license-plates/get-custom-plates/special-design-plates,html_gallery,A,1,0,pending,Campaign pilot: official live gallery; design era and public use require separate review.
1,Oregon,OR,bulk_pdf,Oregon License Plate Manual,https://www.oregon.gov/odot/Forms/DMV/6726.pdf,bulk_pdf,A,1,1,remote_only,Current and still-valid retired designs.
1,Oregon,OR,direct_image_asset,Oregon Salmon Plate Official Image,https://www.oregon.gov/oprd/PCB/PublishingImages/Salmon%20License%20Plate.png,direct_asset,A,1,0,remote_only,Direct official PNG.
2,Idaho,ID,bulk_pdf,Idaho Special License Plate Designs Poster,https://itd.idaho.gov/wp-content/uploads/2016/06/plates.pdf,bulk_pdf,A,1,0,remote_only,Official specialty design poster; prior GitHub harvest returned 404 and requires source refresh.
3,California,CA,official_gallery,California DMV License Plate Designs,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/license-plates/special-interest-special-license-plates/,html_gallery,A,1,0,remote_only,Official page contains sample images and descriptive alt text for special-interest and recognition plates.
5,Nevada,NV,official_gallery,Nevada DMV License Plates,https://dmv.nv.gov/platesmain.htm,html_gallery,A,1,0,remote_only,Official plate-design page; more than 30 specialty designs and standard categories.
10,Texas,TX,bulk_pdf,Texas Specialty Plate Guide,https://www.txdmv.gov/sites/default/files/body-files/Special-Plate-Guide.pdf,bulk_pdf,A,1,0,remote_only,Official illustrated specialty guide.
12,Florida,FL,bulk_pdf,Florida License Plate Brochure 2026,https://www.flhsmv.gov/pdf/specialtyplates/Florida%20License%20Plate%20Brochure%20%28Revised%201-2026%29%20reduced%20size.pdf,bulk_pdf,A,1,0,remote_only,Current official illustrated brochure.
15,Minnesota,MN,bulk_pdf,Minnesota Special License Plates Brochure,https://assets.dps.mn.gov/files/dvs/dvs-special-license-plates-brochure.pdf,bulk_pdf,A,1,0,remote_only,Official illustrated brochure.
16,Wisconsin,WI,official_gallery,Wisconsin DOT Special License Plates,https://wisconsindot.gov/Pages/dmv/vehicles/title-plates/special.aspx,html_gallery,A,1,1,remote_only,Image-rich official page with design images issue dates colors statutory references and multiple still-valid historical variants.
17,Nebraska,NE,bulk_pdf,Nebraska 2023-2029 License Plates,https://dmv.nebraska.gov/sites/dmv.nebraska.gov/files/doc/dvr/plates/2023_Series_Plates.pdf,bulk_pdf,A,1,0,remote_only,Current illustrated manual.
17,Nebraska,NE,bulk_pdf_historical,Nebraska 2017-2023 License Plates,https://dmv.nebraska.gov/sites/dmv.nebraska.gov/files/doc/dvr/plates/2017_Series_Plates-updated.pdf,bulk_pdf,A,1,1,remote_only,Previous illustrated series manual.
32,Indiana,IN,official_gallery,Indiana BMV License Plate Designs,https://www.in.gov/bmv/registration-plates/license-plates-overview/license-plate-designs,html_gallery,A,1,0,remote_only,Official categorized gallery with plate names sample-image alt text and detail links.
33,Massachusetts,MA,bulk_pdf,Massachusetts Passenger Plates Manual,https://www.mass.gov/doc/passenger-plates-manual-0/download,bulk_pdf,A,1,1,remote_only,Official passenger plate manual; GitHub runner returned 403 in initial batch.
38,Alabama,AL,official_gallery,Alabama License Plates Archive,https://www.revenue.alabama.gov/license-plates/,html_gallery,A,1,1,remote_only,Official searchable archive reports hundreds of plates with images and plate titles; first-page extraction is a starting point before pagination/API work.
42,Connecticut,CT,official_gallery,Connecticut Special and Vanity Plates,https://portal.ct.gov/dmv/vehicle-services/get-vanity-special-plates,html_gallery,A,1,1,remote_only,Official image-rich expandable catalog grouped by plate type and organization.
44,New Hampshire,NH,bulk_pdf,New Hampshire Complete List of Plate Types,https://www.dmv.nh.gov/sites/g/files/ehbemt416/files/inline-documents/list-of-plates-table.pdf,bulk_pdf,A,1,0,remote_only,Official complete plate-type PDF; GitHub runner returned 403 in initial batch.
48,West Virginia,WV,bulk_pdf,West Virginia License Plate Posters,https://webapps.transportation.wv.gov/TWS/WVDOTDocumentStorageMigration/PDF/Transportation/DMV/DMVFormSearch/PLATE-POSTERS.pdf,bulk_pdf,A,1,0,remote_only,Official illustrated plate posters.
49,Oklahoma,OK,bulk_pdf,Service Oklahoma Specialty Plates Catalog,https://oklahoma.gov/content/dam/service-oklahoma/Documents/mv-forms/SpecialtyPlatesCatalog.pdf,bulk_pdf,A,1,0,remote_only,Official illustrated specialty catalog.
